Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,average_moves,moe_average_moves,total_moves,player_wrong_actions,player_wrong_moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,moe_mistakes_per_1000moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,moe_material_diff_llm_minus_rand,completion_tokens_black_per_move,moe_completion_tokens_black_per_move,moe_black_llm_win_rate,moe_draw_rate,moe_black_llm_loss_rate,win_loss,moe_win_loss,win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,moe_games_not_interrupted,average_game_cost,moe_average_game_cost,price_per_1000_moves,moe_price_per_1000_moves
lvl-10_vs_o3-2025-04-16-low,33,0,0,33,0.0,100.0,67.909,15.439,2241,1,15,0.34,8.111,8.451,4.228,9.545,22.909,-13.364,2.298,1380.855,79.135,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0,0.0,0.0,33,100.0,0.0,3.96272,0.85721,58.59793,3.20072
lvl-1_vs_3x-o4-mini-2025-04-16-low_o4-mini-2025-04-16-medium,33,7,0,26,21.212,78.788,120.727,21.713,3984,734,11,189.736,3.188,192.924,17.038,15.455,9.576,5.879,3.971,3790.549,118.396,0.139,0.139,0.0,0.606,0.0,0.652,0.096,0.819,0.11,10,30.303,0.157,23,69.697,0.157,2.2975,0.41599,18.75581,0.53177
lvl-1_vs_5x-o4-mini-2025-04-16-low_o4-mini-2025-04-16-medium,33,4,0,29,12.121,87.879,116.182,22.257,3834,671,17,246.931,6.557,253.488,84.074,14.818,9.939,4.879,3.013,5467.022,497.285,0.111,0.111,0.0,0.561,0.0,0.611,0.099,0.74,0.122,15,45.455,0.17,18,54.545,0.17,3.21015,0.66554,26.66328,2.11659
lvl-1_vs_claude-3-7-sonnet-20250219-thinking-budget-10000,33,0,0,33,0.0,100.0,121.061,21.552,3995,0,8,0.0,1.708,1.708,1.544,10.394,20.636,-10.242,2.2,655.824,26.284,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0,0.0,0.0,33,100.0,0.0,1.41908,0.25213,11.62368,0.39857
lvl-1_vs_claude-3-7-sonnet-20250219-thinking-budget-5000,33,0,0,33,0.0,100.0,130.242,21.031,4298,0,13,0.0,2.945,2.945,1.688,9.576,15.879,-6.303,2.357,574.865,15.86,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0,0.0,0.0,33,100.0,0.0,1.36934,0.21372,10.60906,0.24078
lvl-1_vs_gemini-25pro-t03_mini41-t00_mini41-t03,30,5,0,25,16.667,83.333,137.833,20.836,4135,1,52,0.333,13.716,14.049,5.65,10.767,9.0,1.767,4.666,515.192,31.736,0.133,0.133,0.0,0.583,0.0,0.589,0.072,0.96,0.056,2,6.667,0.089,28,93.333,0.089,0.10751,0.01678,0.78076,0.02281
lvl-1_vs_grok-3-mini-beta-high,40,6,0,34,15.0,85.0,152.425,16.715,6097,9,123,1.242,19.59,20.832,4.007,10.05,3.875,6.175,3.671,9.464,0.234,0.111,0.111,0.0,0.575,0.056,0.575,0.056,1.0,0.0,0,0.0,0.0,40,100.0,0.0,0.01699,0.00182,0.11219,0.00165
lvl-1_vs_o3-2025-04-16-low,33,22,0,11,66.667,33.333,111.182,19.479,3669,3,8,1.608,2.323,3.93,3.369,19.394,5.455,13.939,3.12,1863.345,92.518,0.161,0.161,0.0,0.833,0.082,0.833,0.082,1.0,0.0,0,0.0,0.0,33,100.0,0.0,8.6885,1.60465,76.88896,3.71595
lvl-1_vs_o3-mini-2025-01-31-high,33,12,0,21,36.364,63.636,149.303,18.739,4927,63,56,15.242,11.303,26.545,5.639,15.636,1.424,14.212,3.345,6537.148,194.405,0.164,0.164,0.0,0.682,0.083,0.694,0.087,0.973,0.039,2,6.061,0.081,31,93.939,0.081,4.33148,0.54407,29.02746,0.85579
lvl-1_vs_o3-mini-2025-01-31-low,33,0,0,33,0.0,100.0,122.818,21.404,4053,22,95,5.441,28.143,33.584,8.754,15.97,26.394,-10.424,2.393,647.35,18.332,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.864,0.103,7,21.212,0.139,26,78.788,0.139,0.40357,0.07502,3.27289,0.1121
lvl-1_vs_o3-mini-2025-01-31-medium,38,0,0,38,0.0,100.0,171.763,15.848,6527,111,83,15.539,12.913,28.452,4.918,6.868,5.237,1.632,3.0,2146.73,68.27,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0,0.0,0.0,38,100.0,0.0,1.6814,0.1622,9.77256,0.30448
lvl-1_vs_o4-mini-2025-04-16-high,33,9,0,24,27.273,72.727,119.333,21.085,3938,114,32,28.5,6.829,35.329,7.686,15.97,8.909,7.061,3.79,5965.077,408.227,0.152,0.152,0.0,0.636,0.077,0.667,0.091,0.867,0.102,6,18.182,0.132,27,81.818,0.132,3.18646,0.52532,27.05386,1.79666
lvl-1_vs_o4-mini-2025-04-16-low,33,0,0,33,0.0,100.0,152.879,17.57,5045,439,27,84.999,4.671,89.669,8.46,6.424,10.182,-3.758,3.312,668.034,16.215,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.988,0.024,1,3.03,0.058,32,96.97,0.058,0.52504,0.06246,3.42179,0.07544
lvl-1_vs_o4-mini-2025-04-16-medium,40,7,0,33,17.5,82.5,156.55,13.738,6262,168,29,26.828,4.286,31.114,4.237,5.975,4.0,1.975,2.784,2100.872,92.262,0.118,0.118,0.0,0.588,0.06,0.588,0.06,1.0,0.0,0,0.0,0.0,40,100.0,0.0,1.51708,0.11717,9.88555,0.41017
lvl-2_vs_grok-3-mini-beta-high,40,8,0,32,20.0,80.0,150.35,16.494,6014,12,113,2.336,18.019,20.355,3.981,9.6,5.5,4.1,3.517,9.614,0.28,0.124,0.124,0.0,0.6,0.063,0.6,0.063,1.0,0.0,0,0.0,0.0,40,100.0,0.0,0.01667,0.00176,0.11176,0.00183
lvl-2_vs_o3-2025-04-16-low,33,18,0,15,54.545,45.455,121.061,22.557,3995,1,6,0.152,1.33,1.482,1.185,16.545,5.03,11.515,4.229,1910.349,86.266,0.17,0.17,0.0,0.773,0.086,0.773,0.086,1.0,0.0,0,0.0,0.0,33,100.0,0.0,9.69356,1.90035,78.50412,3.49878
lvl-2_vs_o3-mini-2025-01-31-high,30,8,0,22,26.667,73.333,142.167,20.685,4265,49,36,12.978,8.655,21.634,6.384,14.6,4.033,10.567,4.219,6402.006,204.728,0.158,0.158,0.0,0.633,0.08,0.654,0.09,0.936,0.069,4,13.333,0.122,26,86.667,0.122,4.03943,0.57173,28.62194,0.90198
lvl-2_vs_o4-mini-2025-04-16-high,30,4,0,26,13.333,86.667,114.8,23.698,3444,114,16,34.002,5.284,39.286,7.58,15.9,10.2,5.7,3.047,5809.408,231.166,0.122,0.122,0.0,0.567,0.062,0.591,0.082,0.767,0.141,8,26.667,0.158,22,73.333,0.158,2.98639,0.60718,26.09607,1.01912
lvl-3_vs_grok-3-mini-beta-high,40,3,0,37,7.5,92.5,156.15,15.025,6246,12,135,1.983,19.992,21.975,4.369,6.95,5.5,1.45,3.812,9.776,0.437,0.082,0.082,0.0,0.537,0.041,0.538,0.042,0.99,0.02,1,2.5,0.048,39,97.5,0.048,0.01718,0.00159,0.11085,0.00196
lvl-3_vs_o3-2025-04-16-low,33,19,0,14,57.576,42.424,118.242,22.789,3902,3,4,0.564,0.606,1.17,0.912,16.212,5.848,10.364,3.217,1859.999,95.195,0.169,0.169,0.0,0.788,0.086,0.788,0.086,1.0,0.0,0,0.0,0.0,33,100.0,0.0,9.22027,1.78289,78.6543,3.85344
lvl-4_vs_grok-3-mini-fast-beta-high,33,2,0,31,6.061,93.939,150.303,19.007,4960,4,117,0.684,21.226,21.911,4.586,7.424,7.152,0.273,3.984,9.478,0.337,0.081,0.081,0.0,0.53,0.041,0.53,0.041,1.0,0.0,0,0.0,0.0,33,100.0,0.0,0.03672,0.00434,0.24835,0.00597
lvl-4_vs_o3-2025-04-16-low,33,15,0,18,45.455,54.545,132.333,21.541,4367,1,9,0.152,1.683,1.835,1.245,12.97,6.212,6.758,3.781,1858.123,130.512,0.17,0.17,0.0,0.727,0.086,0.727,0.086,1.0,0.0,0,0.0,0.0,33,100.0,0.0,10.3115,1.64588,79.50963,5.26842
lvl-5_vs_grok-3-mini-fast-beta-high,33,0,0,33,0.0,100.0,136.879,19.27,4517,6,123,1.166,25.499,26.665,5.894,6.576,14.788,-8.212,3.038,9.564,0.295,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0,0.0,0.0,33,100.0,0.0,0.03389,0.00451,0.25033,0.00489
lvl-5_vs_o3-2025-04-16-low,35,15,0,20,42.857,57.143,119.0,19.93,4165,2,12,0.286,2.469,2.754,1.838,12.857,6.914,5.943,3.626,1819.887,111.073,0.164,0.164,0.0,0.714,0.083,0.714,0.083,1.0,0.0,0,0.0,0.0,35,100.0,0.0,9.08878,1.43252,78.82488,4.47459
